timestamp,event,asset,window,direction,price,pnl,cumulative,cl_open,cl_close
2026-03-08T20:55:03+00:00,WIN,BTC,5m,DOWN,0.85,0.88,0.88,67357.91,2026-03-08T20:55:03+00:000
2026-03-08T21:10:03+00:00,WIN,BTC,5m,DOWN,0.89,0.62,1.5,67221.78,2026-03-08T21:10:03+00:000
2026-03-08T21:15:03+00:00,WIN,SOL,5m,DOWN,0.965,0.18,1.68,81.96,2026-03-08T21:15:03+00:000
2026-03-08T21:15:03+00:00,WIN,BTC,5m,DOWN,0.985,0.08,1.76,66922.77,2026-03-08T21:15:03+00:000
2026-03-08T21:20:03+00:00,WIN,BTC,5m,UP,0.91,0.49,2.25,66776.08,2026-03-08T21:20:03+00:000
2026-03-08T21:35:03+00:00,LOSS,BTC,5m,UP,0.935,-5,-2.75,66930.13,2026-03-08T21:35:03+00:000
2026-03-08T21:45:03+00:00,WIN,ETH,5m,UP,0.94,0.32,-2.43,1952.4,2026-03-08T21:45:03+00:000
2026-03-08T22:20:03+00:00,WIN,ETH,5m,DOWN,0.95,0.26,-2.17,1930.57,2026-03-08T22:20:03+00:000
2026-03-08T22:20:03+00:00,WIN,BTC,5m,DOWN,0.96,0.21,-1.96,66069.59,2026-03-08T22:20:03+00:000
2026-03-08T22:20:03+00:00,WIN,XRP,5m,DOWN,0.97,0.15,-1.8,1.33,2026-03-08T22:20:03+00:000
2026-03-08T22:25:03+00:00,WIN,ETH,5m,DOWN,0.94,0.32,-1.48,1925.68,2026-03-08T22:25:03+00:000
2026-03-08T22:25:03+00:00,WIN,BTC,5m,DOWN,0.89,0.62,-0.87,65773.58,2026-03-08T22:25:03+00:000
2026-03-08T22:35:04+00:00,WIN,SOL,5m,UP,0.86,0.81,-0.05,81.3,2026-03-08T22:35:04+00:000
2026-03-08T22:35:04+00:00,WIN,ETH,5m,UP,0.87,0.75,0.7,1929.65,2026-03-08T22:35:04+00:000
2026-03-08T22:35:04+00:00,WIN,BTC,5m,UP,0.89,0.62,1.31,65914.63,2026-03-08T22:35:04+00:000
2026-03-08T22:39:42+00:00 srv1279687 cl-sniper[2580427]: 2026-03-08T22:39:42.234575Z  INFO [SL] DOWN BTC bid=0.330 <= 0.425(50% of 0.850) recovery=0.325,,,,,,,,,
2026-03-08T22:40:03+00:00,SL,BTC,5m,DOWN,0.85,-3.09,-1.77,66059.77,2026-03-08T22:40:03+00:000
2026-03-08T22:40:03+00:00,WIN,ETH,5m,UP,0.85,0.88,-0.89,1935.02,2026-03-08T22:40:03+00:000
2026-03-08T22:45:03+00:00,WIN,SOL,5m,UP,0.93,0.38,-0.52,81.65,2026-03-08T22:45:03+00:000
2026-03-08T22:45:03+00:00,WIN,BTC,15m,UP,0.97,0.15,-0.36,65914.63,2026-03-08T22:45:03+00:000
2026-03-08T22:55:03+00:00,WIN,SOL,5m,DOWN,0.89,0.62,0.26,82.3,2026-03-08T22:55:03+00:000
2026-03-08T23:05:03+00:00,WIN,XRP,5m,UP,0.97,0.15,0.41,1.35,2026-03-08T23:05:03+00:000
2026-03-08T23:05:03+00:00,WIN,SOL,5m,UP,0.97,0.15,0.57,81.99,2026-03-08T23:05:03+00:000
2026-03-08T23:05:03+00:00,WIN,ETH,5m,UP,0.97,0.15,0.72,1943.14,2026-03-08T23:05:03+00:000
2026-03-08T23:05:03+00:00,WIN,BTC,5m,UP,0.94,0.32,1.04,66239.62,2026-03-08T23:05:03+00:000
2026-03-08T23:10:03+00:00,WIN,ETH,5m,DOWN,0.95,0.26,1.3,1950.12,2026-03-08T23:10:03+00:000
2026-03-08T23:10:03+00:00,WIN,SOL,5m,DOWN,0.97,0.15,1.46,82.34,2026-03-08T23:10:03+00:000
2026-03-08T23:15:03+00:00,WIN,BTC,5m,UP,0.88,0.68,2.14,66236.85,2026-03-08T23:15:03+00:000
2026-03-08T23:15:03+00:00,WIN,ETH,5m,UP,0.88,0.68,2.82,1945.86,2026-03-08T23:15:03+00:000
2026-03-08T23:25:03+00:00,WIN,SOL,5m,UP,0.97,0.15,2.98,82.06,2026-03-08T23:25:03+00:000
2026-03-08T23:30:03+00:00,WIN,BTC,5m,DOWN,0.95,0.26,3.24,66525.02,2026-03-08T23:30:03+00:000
2026-03-08T23:30:03+00:00,WIN,ETH,5m,DOWN,0.95,0.26,3.5,1952.99,2026-03-08T23:30:03+00:000
2026-03-08T23:30:03+00:00,WIN,SOL,5m,DOWN,0.95,0.26,3.77,82.23,2026-03-08T23:30:03+00:000
2026-03-08T23:45:03+00:00,WIN,BTC,5m,DOWN,0.93,0.38,4.14,66242.04,2026-03-08T23:45:03+00:000
2026-03-08T23:55:03+00:00,WIN,ETH,5m,DOWN,0.96,0.21,4.35,1941.12,2026-03-08T23:55:03+00:000
2026-03-08T23:55:03+00:00,WIN,BTC,5m,DOWN,0.97,0.15,4.5,66134.87,2026-03-08T23:55:03+00:000
2026-03-08T23:55:03+00:00,WIN,SOL,5m,DOWN,0.96,0.21,4.71,81.75,2026-03-08T23:55:03+00:000
2026-03-09T00:00:03+00:00,WIN,BTC,5m,DOWN,0.94,0.32,5.03,66039.24,2026-03-09T00:00:03+00:000
2026-03-09T00:00:03+00:00,WIN,ETH,5m,DOWN,0.96,0.21,5.24,1939.11,2026-03-09T00:00:03+00:000
2026-03-09T00:00:03+00:00,WIN,SOL,5m,DOWN,0.96,0.21,5.45,81.64,2026-03-09T00:00:03+00:000
2026-03-09T00:05:03+00:00,WIN,BTC,5m,UP,0.95,0.26,5.71,65972.12,2026-03-09T00:05:03+00:000
2026-03-09T00:20:03+00:00,WIN,ETH,5m,DOWN,0.955,0.24,5.95,1946.6,2026-03-09T00:20:03+00:000
2026-03-09T00:25:03+00:00,WIN,ETH,5m,DOWN,0.97,0.15,6.1,1942.54,2026-03-09T00:25:03+00:000
2026-03-09T00:25:03+00:00,WIN,SOL,5m,DOWN,0.91,0.49,6.6,82.26,2026-03-09T00:25:03+00:000
2026-03-09T00:25:03+00:00,WIN,BTC,5m,DOWN,0.97,0.15,6.75,66240.19,2026-03-09T00:25:03+00:000
