ts,run_id,event,strategy,asset,slug,left_s,bn_px,up_ask,up_bid,up_spread,up_bid_sz,up_ask_sz,up_n_bids,up_n_asks,up_age_ms,dn_ask,dn_bid,dn_spread,dn_bid_sz,dn_ask_sz,dn_n_bids,dn_n_asks,dn_age_ms,fill_up,fill_dn,cost_up,cost_dn,dump_side,dump_px,dump_bid,dump_bid_src,dump_rec,cl_open,cl_close,cl_delta_pct,settle_dir,settle_src,clob_up_bid,clob_dn_bid,entry_fees,dump_fee,pnl,cum_pnl,cap,w,l,flags,
2026-03-08T20:15:00.919202291+00:00,R0308_200647,SETTLE,S3,xrp,xrp-updown-5m-1773000600,0,1.35,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.099,,,1.35,1.35,-0.0769,DOWN,CL,0,0.99,0.3088,0.0568,0.2396,0.2396,100.2396,1,0,,,
2026-03-08T20:15:00.919361821+00:00,R0308_200647,SETTLE,S3,sol,sol-updown-5m-1773000600,0,82.12,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.03,,,82.27,82.13,-0.1676,DOWN,CL,0,0.99,0.3087,0.0182,-0.2428,-0.2428,99.7572,0,1,,,
2026-03-08T20:15:00.919440300+00:00,R0308_200647,SETTLE,S3,btc,btc-updown-5m-1773000600,0,67100.21,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.199,,,67204.55,67101.29,-0.1536,DOWN,CL,0,0.99,0.3087,0.0994,1.3626,1.3626,101.3626,1,0,,,
2026-03-08T20:15:00.919529664+00:00,R0308_200647,SETTLE,S3,eth,eth-updown-5m-1773000600,0,1954.66,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.02,,,1958.74,1954.94,-0.194,DOWN,CL,0,0.99,0.3087,0.0115,0.263,0.263,100.263,1,0,,,
2026-03-08T20:15:10.376819417+00:00,R0308_200647,ENTRY,S3,btc,btc-updown-5m-1773000900,290,67097.39,0.53,0.52,0.01,25.5,244.8,52,47,0,0.48,0.47,0.01,244.8,25.5,47,52,0,0.531,0.481,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:15:10.377060800+00:00,R0308_200647,ENTRY,S3,eth,eth-updown-5m-1773000900,290,1955.13,0.53,0.52,0.01,38,81,52,47,0,0.48,0.47,0.01,81,38,47,52,0,0.531,0.481,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:15:10.377133891+00:00,R0308_200647,ENTRY,S3,sol,sol-updown-5m-1773000900,290,82.12,0.49,0.48,0.01,15,51.8,48,51,0,0.52,0.51,0.01,51.8,15,51,48,0,0.491,0.521,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:15:10.377232160+00:00,R0308_200647,ENTRY,S3,xrp,xrp-updown-5m-1773000900,290,1.35,0.5,0.49,0.01,10,29.2,49,50,0,0.51,0.5,0.01,29.2,10,50,49,0,0.501,0.511,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:19:33.889862749+00:00,R0308_200647,DUMP,S3,xrp,xrp-updown-5m-1773000900,27,1.35,,,,,,,,,,,,,0,,0,99,,,,,DN,0.199,0.2,EST,1.9472,1.35,1.35,0.1236,,,,,,,,,,,,,TAKER_FORCE|EST_BID
2026-03-08T20:19:33.889993486+00:00,R0308_200647,DUMP,S3,sol,sol-updown-5m-1773000900,27,82.35,,,,,,,,,,,,,0,,0,99,,,,,DN,0.099,0.1,EST,0.9501,82.14,82.36,0.2758,,,,,,,,,,,,,TAKER_FORCE|EST_BID
2026-03-08T20:19:33.890054688+00:00,R0308_200647,DUMP,S3,btc,btc-updown-5m-1773000900,27,67190.1,,,,,,,,,,,,,7163.5,,2,83,,,,,DN,0.019,0.02,REAL,0.1975,67102.8,67191.52,0.1322,,,,,,,,,,,,,TAKER_FORCE
2026-03-08T20:19:33.890120368+00:00,R0308_200647,DUMP,S3,eth,eth-updown-5m-1773000900,27,1959.5,,,,,,,,,,,,,0,,0,99,,,,,DN,0.099,0.1,EST,1.0291,1955.44,1959.38,0.2014,,,,,,,,,,,,,TAKER_FORCE|EST_BID
2026-03-08T20:20:00.966710388+00:00,R0308_200647,SETTLE,S3,xrp,xrp-updown-5m-1773000900,0,1.35,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.199,,,1.35,1.35,0.1049,UP,CL,0.99,0,0.3087,0.0975,1.521,3.1434,103.1434,4,1,,,
